track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,track_album_release_year,track_album_release_decade
6YZpyZ4gmK4VQWvN6230A2,Will I Ever,Alice DJ,49,5oPKlo7IBFXlh12tqDVoAU,Who Needs Guitars Anyway?,2000,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.651,0.836,2,-7.825,1,0.0309,0.000489,0.794,0.0539,0.628,137.048,210147,2000,2000s
4q7HqgwzTAK332xEbzuBVm,Sex On The Beach - Original Mix,T-Spoon,3,0AqYdbMMsucUfiXV9mCp8O,Sex on the beach,2008-11-15,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.731,0.745,5,-7.611,1,0.0269,0.147,0.0,0.166,0.969,99.989,237293,2008,2000s
4yEXem27DzCg8xytvvO3E9,Lollipop (Candyman),Aqua,0,2vb252Haz9iX4iOd7vP8kX,Greatest Hits,2009-01-01,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.716,0.981,0,-3.612,0,0.031,0.0317,0.0074,0.171,0.861,139.047,215053,2009,2010s
6X5nB9TR6EK9ABabYAzcQ8,Ride Wit Me - Album Version (Edited),Nelly,2,6pHCHKNM0hRDgKRR52tW7X,Lost & Found: Noughties Pop Volume 1,2007,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.843,0.682,7,-6.446,1,0.0646,0.0627,2.54e-06,0.0301,0.766,101.865,290373,2007,2000s
0b8PKDeFc2T5u9cRbLLv2r,We’re Going to Ibiza!,Vengaboys,60,5t02mTYT9ks9sOC1ihea4a,Greatest Hits!,2000,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.802,0.671,1,-9.969,1,0.0424,0.0233,0.0108,0.0943,0.912,103.993,216360,2000,2000s
2wz5weI4PREzpexKfrKgwv,Sweet Dreams,La Bouche,62,7hP1XPeFjOYTM2xgruJZyo,Greatest Hits,2007,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.656,0.956,11,-5.647,0,0.0536,0.0784,0.0247,0.0923,0.831,133.713,204587,2007,2000s
7vHkU1H73z5NVbGTIyI1DG,Around The World,Aqua,0,2vb252Haz9iX4iOd7vP8kX,Greatest Hits,2009-01-01,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.705,0.975,6,-3.847,1,0.0312,0.00332,0.000182,0.537,0.969,129.934,209120,2009,2010s
3XVozq1aeqsJwpXrEZrDJ9,Ice Ice Baby,Vanilla Ice,70,20O6lfaDAoMhUj5TAvVbb6,Vanilla Ice Is Back! - Hip Hop Classics,2008-11-04,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.979,0.792,2,-2.784,1,0.0388,0.0025,7.71e-06,0.102,0.583,116.012,254467,2008,2000s
3DdCb7EyPUcUD0LKWkJ0L7,Roses Are Red - Original Version,Aqua,2,58F319Pyj5Pb2jCB5oBLoT,Greatest Hits,2009-01-01,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.612,0.974,0,-3.527,0,0.0407,0.0133,0.0107,0.618,0.817,139.934,222747,2009,2010s
4KjXkB31IrgmVimunoVrts,Max Don´t Have Sex With Your Ex,E-Rotic,46,46uw8uMUqyfb4tRAGd2L89,Sex Affairs,2001-07-01,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.547,0.993,9,-5.565,0,0.0604,0.00786,0.00119,0.362,0.656,139.886,211040,2001,2000s
6PUzxtIHkv346yP89NzP9X,Kernkraft 400,Zombie Nation,47,2qmrRoUZQemrKFr9PBMDHd,Kernkraft 400 Single Mixes,2006-03-07,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.798,0.43,8,-7.839,0,0.0868,0.0055,0.901,0.146,0.487,140.064,285173,2006,2000s
1CJbLAkUiPXrttszpQhnO6,Mr. Vain Recall - Radio Edit,Culture Beat,7,7KmBBdhWW33xFdfaoV0iVv,Mr. Vain Recall,2009-07-24,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.549,0.947,2,-5.141,1,0.0702,0.00191,0.0322,0.333,0.38,139.747,213413,2009,2010s
44o1MQVbm8S827avRs4RHc,Feel the heat of the night - Radio Edit,Masterboy,50,73rwjoMZxrGQdbe5rPK7EY,Feel the heat of the night,2006-01-23,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.625,0.917,9,-6.893,0,0.0396,0.0136,0.00338,0.324,0.9,137.968,221840,2006,2000s
1M9HkdNJ9ArhHc4ueJ5tVm,Captain Jack - Short Mix,Captain Jack,48,5l3oBATLEoSIqIbLyrEH90,Captain Jack Is Back,2008-11-21,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.667,0.999,1,-4.375,0,0.0828,0.0726,4.15e-05,0.238,0.566,149.875,248533,2008,2000s
09nxdcY2oYo57fJrG6CCCT,Dragostea Din Tei - Original Romanian Version,O-Zone,8,4I8dkoKeszRKl3UqT89l7R,Time 25th Anniversary,2009-12-25,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.813,0.966,0,-3.924,1,0.0417,0.173,0.0,0.0729,0.681,130.086,213461,2009,2010s
0KT6DLAELYSbgfUemzwGPX,Heaven (featuring Do),DJ Sammy,64,15UjVcCwrMwAEPzAoVrZ55,Heaven,2002-08-06,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.565,0.942,8,-6.821,1,0.0518,0.00107,0.000393,0.152,0.569,137.972,235000,2002,2000s
5unmsMTn84dE2kb3kz4wfe,Around the World (La La La La La) - Radio Version,A Touch Of Class,5,5Coqq6ulj1Q4EBnDzyuY9l,Smash! Vol. 11,2000-11-24,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.608,0.979,9,-6.184,0,0.0279,0.119,0.000878,0.156,0.653,131.985,215800,2000,2000s
5Klo65Y9uouLjNVDV3pqh7,Go West - 2003 Remaster,Pet Shop Boys,63,5IVJbSDDWbGjKbBczyifFl,PopArt - The Hits,2003,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.535,0.951,7,-5.859,1,0.0373,0.0174,9.61e-06,0.345,0.444,120.72,304080,2003,2000s
1pUFYb9peWkK8m1WCKNRjp,God Is a DJ,Faithless,57,2Vcq2BbEjHFdfodZ8hlcZL,Forever Faithless - The Greatest Hits (C),2005-08-30,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.607,0.897,10,-7.468,0,0.0448,0.177,0.885,0.17,0.391,130.549,208507,2005,2000s
5WtbtCmPbr8a9TkFSCx7nF,Not over Yet - Perfecto Edit,Grace,20,3g4niytYg05bBFEApZ1LVs,Digging In The Crates: 1997 Vol. 1,2007-01-30,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.559,0.829,6,-8.149,0,0.0407,0.00496,0.00597,0.05,0.463,130.532,458058,2007,2000s
3v1W3lS40jrAyGerzF3igy,Up & Down,Vengaboys,61,5t02mTYT9ks9sOC1ihea4a,Greatest Hits!,2000,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.79,0.929,6,-9.123,1,0.0671,0.000405,0.648,0.0693,0.894,135.951,241040,2000,2000s
4JehYebiI9JE8sR8MisGVb,Halo,Beyoncé,77,39P7VD7qlg3Z0ltq60eHp7,I AM...SASHA FIERCE,2008-11-14,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,4QAzO1Z92yqqD6Mf3mOANu,pop,dance pop,0.508,0.72,11,-5.908,0,0.0628,0.272,0.0,0.0563,0.472,79.983,261640,2008,2000s
19qn6oU2t0E72ENA0aWNsX,So What,P!nk,15,2MqP4akeOQpLkq7jpQqlHT,Funhouse: The Tour Edition,2008,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,4QAzO1Z92yqqD6Mf3mOANu,pop,dance pop,0.535,0.888,11,-3.1,1,0.0446,0.000304,2.17e-06,0.324,0.451,126.011,215160,2008,2000s
0KpfYajJVVGgQ32Dby7e9i,"Hey, Soul Sister",Train,27,5lTCUyQrKcSmcw5ULkt75O,"Hey, Soul Sister",2009-08-06,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,4QAzO1Z92yqqD6Mf3mOANu,pop,dance pop,0.675,0.885,1,-4.432,0,0.0436,0.217,0.0,0.086,0.768,97.03,216667,2009,2010s
1HwpWwa6bnqqRhK8agG4RS,Beautiful Soul,Jesse McCartney,72,2gidE8vgVOkYufANjuvj3S,Beautiful Soul,2004-01-01,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.66,0.666,9,-4.342,1,0.0472,0.0759,0.0,0.0268,0.933,89.975,214227,2004,2000s
07HPV6hzecJmMJwsIX8YVU,He Could Be the One,Hannah Montana,65,0bKrYLZrKCH5qGzgwPxLcl,Hannah Montana 3,2009-01-01,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.602,0.894,4,-3.975,1,0.032,0.00154,0.0,0.433,0.643,125.988,180800,2009,2010s
1g1Jor1zrllXn2ogj8KGAH,"Strut - From ""The Cheetah Girls 2""",The Cheetah Girls,51,10ATF34xwqoGlmm5vsgOSG,The Cheetah Girls 2,2006-01-01,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.674,0.87,3,-5.158,0,0.0912,0.428,5.08e-06,0.127,0.559,120.027,198360,2006,2000s
7EGhmltmWJHCHobd3g8Hnw,No Air (feat. Chris Brown),Jordin Sparks,63,3SR9XT8f7LEUDcMFZO4wPd,Jordin Sparks,2007-11-19,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.466,0.759,8,-4.978,0,0.199,0.0521,0.0,0.0587,0.328,160.033,264373,2007,2000s
2TZ1apxMDlubCGMsOxcTbT,Come Clean,Hilary Duff,55,2zfZe8P8jg53kZaAfCdBYs,Metamorphosis,2003-01-01,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.577,0.892,8,-5.121,0,0.0675,0.016,6.39e-05,0.299,0.454,118.096,214560,2003,2000s
73qbBlEAcm2HfnAaSnP1II,Say OK,Vanessa Hudgens,56,2OUapAEqOnhcOZExGIBPLh,V,2006-01-01,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.469,0.689,9,-7.017,0,0.0475,0.00607,0.00119,0.114,0.531,126.505,221867,2006,2000s
0YonII18xBlXaIEy2wd4mh,Stay My Baby,Miranda Cosgrove,34,0xNAZJ9t4vyY9SNWoZ3rrx,iCarly - Music From and Inspired by the Hit TV Show,2008,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.376,0.939,11,-4.482,0,0.105,0.00207,0.0706,0.345,0.689,177.895,185067,2008,2000s
11dxtPJKR4E0wlSr0A0t47,Potential Breakup Song,Aly & AJ,61,4TOOGDpJ9KQ8EM84TC4qj6,Insomniatic,2007-01-01,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.572,0.89,6,-4.139,0,0.039,0.00082,0.00937,0.564,0.765,158.038,219773,2007,2000s
21pySLskKIKrhDziCX5ojQ,When I Grow Up,The Pussycat Dolls,70,7mDkWKTghwBDuHCJmH6qR5,Doll Domination (Deluxe),2008-09-23,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.671,0.685,11,-5.762,0,0.05,0.00165,0.0,0.398,0.368,118.449,245680,2008,2000s
5xEM5hIgJ1jjgcEBfpkt2F,Complicated,Avril Lavigne,77,3zXjR3y2dUWklKmmp6lEhy,Let Go,2002-06-04,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.585,0.776,5,-5.898,1,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,244507,2002,2000s
6YXG34IWbilypPwjBTOrUC,Can I Have This Dance - Original Version,High School Musical Cast,67,6j8k5gIeWzXapGKTVaZzER,High School Musical 3: Senior Year,2008-01-01,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.555,0.619,0,-5.246,1,0.0296,0.203,0.0,0.265,0.426,136.069,243773,2008,2000s
3Q4WeJmzxuDpzMu9QjQqbM,Big Girls Don't Cry (Personal),Fergie,74,0jwuTvP3hp2jFY08VLgvnD,The Dutchess,2006-01-01,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.708,0.641,7,-4.296,1,0.0336,0.205,0.0,0.0945,0.253,113.082,268120,2006,2000s
4wCD0qOFNRu1Q6O3N6ycm4,Crush,David Archuleta,70,4aZ3Mf9Tza576UhJ9kjYd7,David Archuleta,2008-11-11,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.57,0.664,0,-4.718,0,0.0322,0.00836,1.2e-05,0.0719,0.487,162.084,213520,2008,2000s
6I9VzXrHxO9rA9A5euc8Ak,Toxic,Britney Spears,78,0z7pVBGOD7HCIB7S8eLkLI,In The Zone,2003-11-13,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,198800,2003,2000s
1wF2QB0bAAYQdPUIn0L0VE,Outside Looking In,Jordan Pruitt,40,3ZN6vRXDZhoYf9Zdc5ubpE,No Ordinary Girl,2007-01-01,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.69,0.29,5,-6.544,1,0.0282,0.676,0.0,0.109,0.42,95.976,159467,2007,2000s
5WWOmIdScv25SOKm8yknqh,Let's Make This Last 4Ever,Mitchel Musso,38,0bKrYLZrKCH5qGzgwPxLcl,Hannah Montana 3,2009-01-01,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.531,0.936,11,-2.956,0,0.0503,0.00758,0.0,0.0959,0.812,75.008,192173,2009,2010s
7wZUrN8oemZfsEd1CGkbXE,Bleeding Love,Leona Lewis,77,0VaAFegRAAn4OCg7p4QjN5,Spirit,2007,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.638,0.656,5,-5.886,1,0.0357,0.188,0.0,0.146,0.225,104.036,262467,2007,2000s
3K01q0jtSNHeqx5gs97HH2,Push It to the Limit,Corbin Bleu,50,6Q2jKaWXFHu1bbnXHQpYiz,Another Side,2007-01-01,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.815,0.906,5,-3.194,0,0.0561,0.0116,2.06e-06,0.0691,0.783,125.974,196960,2007,2000s
2GJEMlKxt3GL2rJMOTET6Z,So Close,Jennette McCurdy,36,1sj1yeXtHCv6J0LKxJAbov,So Close,2009-03-10,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.609,0.658,9,-4.657,1,0.0342,0.296,0.0,0.292,0.53,116.896,229240,2009,2010s
3KnjerEPMolLapVo2wdgz6,Rumors,Lindsay Lohan,50,3ZxcXB6JtLDAEUDLVkiIRe,Speak,2004-01-01,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.883,0.784,10,-5.646,0,0.0533,0.0171,0.0143,0.333,0.888,115.006,196307,2004,2000s
1UXBbmjIrxjckrbv5EfSVT,Tell Me Something I Don't Know - Soundtrack,Selena Gomez,59,6Jv7Yo0ihit4JyxvjQLUhb,Another Cinderella Story (Original Motion Picture Soundtrack),2008-08-26,Post teen pop,7jQHOrErpLMStcUUSavQWR,pop,post-teen pop,0.611,0.936,7,-3.697,0,0.11,0.0309,0.0,0.12,0.697,144.901,201427,2008,2000s
48qKqo6HgIG8VLN4CpYb37,Magic,Selena Gomez,47,0KtS4pLIAdZ1An17zMdjbz,Wizards Of Waverly Place,2009-01-01,Post teen pop,7jQHOrErpLMStcUUSavQWR,pop,post-teen pop,0.602,0.922,11,-3.061,0,0.0386,0.00632,0.0,0.284,0.396,104.101,169733,2009,2010s
5AJlZB3pgR7fM3DWTeL6WT,El Ritmo De La Selva,Fernando García Baró,27,1Kx9uo7QBjFWAgqDEI7Q5Y,The Jungle Book 2 Original Soundtrack,2003-01-01,Post teen pop,7jQHOrErpLMStcUUSavQWR,pop,post-teen pop,0.379,0.502,10,-10.027,0,0.163,0.461,0.0,0.557,0.759,203.425,184920,2003,2000s
38J1ihEp0kRsuRboyoKXhN,Pobres almas sin sol,Helen Quiroga,26,7iWekZ4JcHEpTCM2QSddOG,La Sirenita (Banda Sonora Original),2002-01-01,Post teen pop,7jQHOrErpLMStcUUSavQWR,pop,post-teen pop,0.39,0.424,0,-9.336,1,0.124,0.785,0.0,0.167,0.508,70.114,289947,2002,2000s
54NI0COc4wjNVTW9rnOEfI,"Parte De Tu Mundo - De ""La Sirenita""/Banda Sonora Original",María Caneda,33,7iWekZ4JcHEpTCM2QSddOG,La Sirenita (Banda Sonora Original),2002-01-01,Post teen pop,7jQHOrErpLMStcUUSavQWR,pop,post-teen pop,0.27,0.279,5,-10.319,1,0.0346,0.953,0.00142,0.0937,0.366,87.182,192013,2002,2000s
0zqY0ttERCqwSfgzfMWMNG,La Bella Y La Bestia,Marta Martorell,37,0aPzWk7Rcifu9jhI8cjZYP,La Bella y La Bestia (Edición Especial/Banda Sonora Original),2002-01-01,Post teen pop,7jQHOrErpLMStcUUSavQWR,pop,post-teen pop,0.225,0.0917,5,-20.384,0,0.0385,0.916,0.000914,0.153,0.152,86.34,163840,2002,2000s
6uqpHCbXPceYgS4KdzaOdU,We Rock,Cast Of Camp Rock,38,2UFGffYhwvhVGzXYldlpZk,Camp Rock OST,2008-01-01,Post teen pop,7jQHOrErpLMStcUUSavQWR,pop,post-teen pop,0.633,0.941,8,-3.413,0,0.11,0.00623,0.0,0.103,0.844,143.887,192160,2008,2000s
5ef1YfcBRyWqKZ5t9ZUYe0,Play My Music,Jonas Brothers,42,2UFGffYhwvhVGzXYldlpZk,Camp Rock OST,2008-01-01,Post teen pop,7jQHOrErpLMStcUUSavQWR,pop,post-teen pop,0.472,0.871,2,-3.492,1,0.0836,0.000632,0.0,0.219,0.803,177.965,197463,2008,2000s
6RC5tEJEye1m0ilNfzjf3K,Gotta Find You,Joe Jonas,45,2UFGffYhwvhVGzXYldlpZk,Camp Rock OST,2008-01-01,Post teen pop,7jQHOrErpLMStcUUSavQWR,pop,post-teen pop,0.463,0.726,11,-5.126,1,0.03,0.0589,0.0,0.0861,0.473,82.006,241867,2008,2000s
2JQRlt3HpTCpRvcfDsbwic,This Is Me,Demi Lovato,50,2UFGffYhwvhVGzXYldlpZk,Camp Rock OST,2008-01-01,Post teen pop,7jQHOrErpLMStcUUSavQWR,pop,post-teen pop,0.497,0.822,1,-2.863,1,0.0399,0.011,0.0,0.0947,0.58,90.992,189173,2008,2000s
5LiW25vFN2BzrceU27R8qy,Here I Am,Renee Sandstrom,35,2UFGffYhwvhVGzXYldlpZk,Camp Rock OST,2008-01-01,Post teen pop,7jQHOrErpLMStcUUSavQWR,pop,post-teen pop,0.483,0.788,3,-3.473,1,0.0341,0.157,0.0,0.177,0.449,143.001,225760,2008,2000s
6xg61PHNCLvQClEJrT9p0V,What it Takes,Aaryn Doyle,31,2UFGffYhwvhVGzXYldlpZk,Camp Rock OST,2008-01-01,Post teen pop,7jQHOrErpLMStcUUSavQWR,pop,post-teen pop,0.71,0.871,2,-6.196,1,0.0794,0.369,3.52e-06,0.297,0.647,100.983,161920,2008,2000s
2I43coEbzFSTMGO3kCjLMB,Daylight,Matt and Kim,10,5cxPqlom9gvcBT1dqiPMqJ,Grand,2009,"post-teen alternative, indie, pop (large variety)",1y42gwI5cuwjBslPyQNfqb,pop,post-teen pop,0.583,0.79,9,-4.885,1,0.0319,0.0851,0.000387,0.11,0.714,103.286,171333,2009,2010s
1D1nixOVWOxvNfWi0UD7VX,Unwritten,Natasha Bedingfield,76,1meis09isQJFDA65afUTt8,Unwritten,2004-08-30,"post-teen alternative, indie, pop (large variety)",1y42gwI5cuwjBslPyQNfqb,pop,post-teen pop,0.706,0.801,5,-6.333,1,0.0399,0.00577,0.0,0.0822,0.63,100.013,259333,2004,2000s
25HI5hXVP2pbD5fF9TdKPE,Gossip,You Me At Six,0,4uC7zTuKQvssFjKEmLB8x3,Take Off Your Colours,2008,Pop Punk | Post-Hardcore,1YgWQAs1s77NzieIH4ARKn,pop,post-teen pop,0.43,0.944,6,-3.04,0,0.16,2.66e-05,0.196,0.235,0.55,175.049,177828,2008,2000s
7xo14jx9x5AQZtEHUY1OsA,Call That A Comeback,You Me At Six,0,4uC7zTuKQvssFjKEmLB8x3,Take Off Your Colours,2008,Pop Punk | Post-Hardcore,1YgWQAs1s77NzieIH4ARKn,pop,post-teen pop,0.493,0.839,1,-3.269,1,0.0735,0.00183,0.0,0.313,0.744,156.071,207267,2008,2000s
7C3rfIBnbBOyRl9J9V5dne,Jealous Minds Think Alike,You Me At Six,0,4uC7zTuKQvssFjKEmLB8x3,Take Off Your Colours,2008,Pop Punk | Post-Hardcore,1YgWQAs1s77NzieIH4ARKn,pop,post-teen pop,0.308,0.937,7,-2.903,1,0.0593,0.00265,0.153,0.114,0.379,172.043,217027,2008,2000s
1j9WiYut0demY3Md2B4gcV,Save It For The Bedroom,You Me At Six,0,4uC7zTuKQvssFjKEmLB8x3,Take Off Your Colours,2008,Pop Punk | Post-Hardcore,1YgWQAs1s77NzieIH4ARKn,pop,post-teen pop,0.323,0.956,1,-2.507,1,0.0536,0.00105,0.000169,0.147,0.491,186.089,239053,2008,2000s
3pe7reLGU42Wemf4UMjrYH,Take Off Your Colours,You Me At Six,0,4uC7zTuKQvssFjKEmLB8x3,Take Off Your Colours,2008,Pop Punk | Post-Hardcore,1YgWQAs1s77NzieIH4ARKn,pop,post-teen pop,0.272,0.929,1,-4.06,1,0.153,0.00168,4.7e-05,0.147,0.398,87.148,197133,2008,2000s
1kN9NWN4usLoogG70iJQuN,You’ve Made Your Bed (So Sleep In It),You Me At Six,0,4uC7zTuKQvssFjKEmLB8x3,Take Off Your Colours,2008,Pop Punk | Post-Hardcore,1YgWQAs1s77NzieIH4ARKn,pop,post-teen pop,0.466,0.895,9,-3.396,1,0.0507,0.0251,0.00212,0.127,0.545,175.924,259813,2008,2000s
14PCAzWN1tK8zTDZoWv76M,If You Run,You Me At Six,0,4uC7zTuKQvssFjKEmLB8x3,Take Off Your Colours,2008,Pop Punk | Post-Hardcore,1YgWQAs1s77NzieIH4ARKn,pop,post-teen pop,0.388,0.934,5,-3.349,1,0.0669,0.00212,0.0454,0.235,0.435,166.023,238467,2008,2000s
3ksHcN1MdKel3q3gvWn0ej,If I Were In Your Shoes,You Me At Six,0,4uC7zTuKQvssFjKEmLB8x3,Take Off Your Colours,2008,Pop Punk | Post-Hardcore,1YgWQAs1s77NzieIH4ARKn,pop,post-teen pop,0.351,0.923,6,-3.237,0,0.0553,4.49e-05,0.0,0.16,0.703,186.117,181333,2008,2000s
3NtDqzqX4xF5ZCf5Bvr7NP,Always Attract,You Me At Six,0,4uC7zTuKQvssFjKEmLB8x3,Take Off Your Colours,2008,Pop Punk | Post-Hardcore,1YgWQAs1s77NzieIH4ARKn,pop,post-teen pop,0.357,0.357,7,-7.597,1,0.0285,0.22,0.0,0.196,0.226,146.968,366027,2008,2000s
